Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Children's home,West Midlands,Dudley,Local Authority,4,Dudley Metropolitan Borough Council
Children's home,West Midlands,Walsall,Private,9,Progress Children's Services Limited
Independent Fostering Agency,South East,Portsmouth,Private,,Fairways Care (uk) Limited
Independent Fostering Agency,East of England,Hertfordshire,Voluntary,,St Christopher's Fellowship
Children's home,South East,East Sussex,Private,3,Anderida Adolescent Care Ltd
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,2,Dove Adolescent Services Limited
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,West Midlands,Shropshire,Private,1,Bryn Melyn Care Limited
Children's home,South East,East Sussex,Local Authority,4,East Sussex County Council
Children's home,West Midlands,Staffordshire,Private,2,Platinum Services For Children (residential Care) Ltd
Children's home,North West,Rochdale,Private,2,Timeout Childrens Homes Ltd
Children's home,East Midlands,Leicestershire,Private,4,Total Care Matters Ltd
Children's home,"North East, Yorkshire and the Humber",North East Lincolnshire,Local Authority,11,North East Lincolnshire Council
Children's home,South East,Hampshire,Local Authority,5,Hampshire County Council
Residential special school (registered as a children's home),North West,Cumbria,Private,12,Appletree Treatment Centre Limited
Children's home,London,Redbridge,Private,5,Five Rivers Child Care Limited
Children's home,North West,Lancashire,Private,3,Care 4 Children Holdco Limited
Children's home,East Midlands,Leicestershire,Private,2,The Place Young People's Company Limited
Children's home,South East,Isle of Wight,Private,3,Island Choices Ltd
Children's home,North West,Knowsley,Local Authority,4,Knowsley Metropolitan Borough Council
Children's home,East Midlands,Leicestershire,Private,4,Keys Care Ltd
Children's home,South West,Devon,Private,2,Phoenix Learning & Care Holdings Limited
Children's home,"North East, Yorkshire and the Humber",North Tyneside,Voluntary,6,The Percy Hedley Foundation
Children's home,South East,West Sussex,Private,5,Southern Adolescent Care Services Ltd
Residential Special School,East Midlands,Lincolnshire,Local Authority,8,Lincolnshire County Council
Residential Special School,West Midlands,Staffordshire,Academy,10,Manor Hall Academy Trust
Independent Fostering Agency,South East,Hampshire,Private,,Foster Care Associates Limited
Independent Fostering Agency,South East,Hampshire,Voluntary,,Action For Children
Children's home,London,Hammersmith and Fulham,Local Authority,7,London Borough of Hammersmith & Fulham
Independent Fostering Agency,West Midlands,Birmingham,Private,,New Life Fostering Agency Limited
Residential special school (registered as a children's home),West Midlands,Shropshire,Private,12,Amberleigh Care Limited
Independent Fostering Agency,London,Wandsworth,Private,,Fostering for You Limited 07756790 
Children's home,North West,Bolton,Local Authority,5,Bolton Metropolitan Borough Council
Children's home,West Midlands,Shropshire,Private,2,Bryn Melyn Care Limited
Children's home,East of England,Norfolk,Private,4,Castle Homes Care Ltd
Children's home,East Midlands,Nottinghamshire,Private,5,Pathway Care Solutions Ltd
Children's home,South East,Hampshire,Private,3,Fairways Care (uk) Limited
Children's home,North West,Warrington,Private,3,Keys Education Ltd
Children's home,North West,St Helens,Private,1,Crossway Services Limited
Children's home,South East,Kent,Private,2,Pilgrims Corner Limited
Children's home,North West,Lancashire,Private,2,Oaktree Childcare Ltd
Children's home,South West,Plymouth,Private,2,South West Childcare Services
Residential special school (registered as a children's home),South East,Hampshire,Private,42,Cambian Asperger Syndrome Services Limited
Children's home,South East,Oxfordshire,Private,7,Hillcrest Children's Services Ltd
Children's home,London,Haringey,Private,5,Kartikeya Solutions Limited
Children's home,West Midlands,Dudley,Private,6,CareTech Community Services Limited
Children's home,East Midlands,Derbyshire,Private,3,Horizon Care and Education Group Limited
Children's home,South West,Somerset,Private,2,Plus One (South West) Ltd
Children's home,North West,Trafford,Private,5,Fairfield Residential Ltd
Children's home,London,Tower Hamlets,Private,8,The Qalb Short Break Services Ltd
Children's home,South East,Kent,Private,3,Pilgrims Corner Limited
Children's home,West Midlands,Telford and Wrekin,Private,4,Hillcrest Children's Services (2) Limited
Children's home,West Midlands,Coventry,Local Authority,4,Coventry City Council
Children's home,East Midlands,Derbyshire,Private,3,Blue Mountain Homes Ltd
Children's home,West Midlands,Staffordshire,Local Authority,6,Wolverhampton City Council
Children's home,West Midlands,Staffordshire,Private,2,Platinum Services For Children (residential Care) Ltd
Children's home,East of England,Hertfordshire,Local Authority,7,Hertfordshire County Council
Independent Fostering Agency,South East,West Sussex,Private,,Isp
Children's home,North West,Cumbria,Private,5,Appletree Treatment Centre Limited
Independent Fostering Agency,London,Croydon,Private,,Sankofa Care Ltd
Children's home,"North East, Yorkshire and the Humber",Doncaster,Private,3,First 4 Care Ltd
Children's home,North West,Stockport,Local Authority,5,Stockport Metropolitan Borough Council
Children's home,South East,Kent,Private,2,Pilgrims Corner Limited
Children's home,North West,Lancashire,Private,7,Witherslack Group Ltd
Children's home,North West,Sefton,Private,4,Hexagon Care Services Limited
Independent Fostering Agency,North West,Lancashire,Private,,Therapeutic Fostering Ltd
Independent Fostering Agency,West Midlands,Birmingham,Private,,Capstone Foster Care (south East) Ltd
Children's home,"North East, Yorkshire and the Humber",North East Lincolnshire,Local Authority,5,North East Lincolnshire Council
Children's home,North West,Lancashire,Private,4,Partners in Care Limited
Independent Fostering Agency,West Midlands,Worcestershire,Private,,Match Foster Care Limited
Children's home,North West,Manchester,Private,2,Cambian Childcare Ltd
Children's home,West Midlands,Staffordshire,Private,3,Oakley House Childrens Home Limited
Children's home,West Midlands,Dudley,Private,6,Cambian Childcare Ltd
Children's home,West Midlands,Birmingham,Private,3,Castle Homes Care Ltd
Children's home,East Midlands,Nottinghamshire,Private,3,Pathway Care Solutions Ltd 04004053
Children's home,West Midlands,Herefordshire,Private,2,River Valley Care Ltd
Children's home,South West,Somerset,Private,3,Safehaven Residential and Respite Care Limited
Adoption Support Agency,North West,Salford,Voluntary,,Caritas Diocese of Salford
Independent Fostering Agency,"North East, Yorkshire and the Humber",Durham,Private,,Foster Care Solutions Limited
Children's home,West Midlands,Staffordshire,Local Authority,6,Staffordshire County Council
Children's home,North West,Rochdale,Private,2,Timeout Childrens Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,4,Pathways Care Group
Independent Fostering Agency,East of England,Southend on Sea,Private,,Family Works Fostering Limited
Children's home,North West,Wigan,Local Authority,2,Wigan Council
Children's home,South East,West Sussex,Private,4,Compass Children's Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Sunderland,Voluntary,6,Together for Children Sunderland Limited
Children's home,West Midlands,Staffordshire,Private,3,Exitus Childrens Care Ltd
Children's home,East Midlands,Northamptonshire,Private,5,Homes 2 Inspire Limited
Independent Fostering Agency,South East,Windsor and Maidenhead,Private,,Achieving For Children Community Interest Company
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,4,Haven Care Group Ltd
Children's home,East of England,Norfolk,Private,4,Stanfield Care Services Limited
Residential special school (registered as a children's home),East Midlands,Derby,Private,8,Senad Limited
Children's home,South West,Devon,Voluntary,4,The Exeter Royal Academy For Deaf Education
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,4,Invested Childcare Ltd
Adoption Support Agency,South East,West Sussex,Private,,Beacon House Psychological Services Ltd
Children's home,North West,Lancashire,Private,2,Hexagon Care Services Limited
Children's home,South West,Bristol,Local Authority,4,Bristol City Council
Residential special school (registered as a children's home),East Midlands,Lincolnshire,Private,55,Kisimul Group Ltd
Children's home,"North East, Yorkshire and the Humber",Kirklees,Local Authority,8,Kirklees Council
Children's home,"North East, Yorkshire and the Humber",Calderdale,Local Authority,5,Calderdale Metropolitan Borough Council
Children's home,"North East, Yorkshire and the Humber",Durham,Local Authority,7,Durham County Council
Further Education College with Residential Accommodation,South East,Hampshire,Voluntary,73,Peter Symonds College
Children's home,London,Newham,Private,5,Children Assisted in a Real Environment (care) Ltd
Residential special school (registered as a children's home),East of England,Norfolk,Private,8,SES Avocet Limited
Children's home,West Midlands,Birmingham,Private,3,TJY Care Ltd
Children's home,North West,Lancashire,Private,2,Coastal Quality Care Ltd
Children's home,South West,Somerset,Private,2,Empower Support Services Limited
Residential Family Centre,South East,West Sussex,Private,5,Foundations For Families Ltd
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,1,Hull City Council
Residential special school (registered as a children's home),East of England,Hertfordshire,Voluntary,58,St Elizabeth's Centre
Children's home,South East,Reading,Voluntary,5,Brighter Futures For Children
Residential special school (registered as a children's home),South East,Surrey,Voluntary,40,St Joseph's Specialist Trust
Children's home,West Midlands,Dudley,Private,3,PCF Residential Childcare Ltd
Children's home,North West,Sefton,Private,3,Teen-Works Care Ltd
Children's home,West Midlands,Walsall,Private,6,Steps 4 Life Care Limited
Children's home,West Midlands,Staffordshire,Private,3,Platinum Services For Children (residential Care) Ltd
Children's home,West Midlands,Shropshire,Private,2,Reflexion Care Group Limited
Children's home,West Midlands,Staffordshire,Private,2,Future In Mind
Children's home,North West,Lancashire,Private,3,Meadows Care Limited
Children's home,East of England,Central Bedfordshire,Private,4,Cambian Childcare Ltd
Children's home,London,Camden,Private,3,Area Camden Ltd
Children's home,North West,Wigan,Private,4,Hexagon Care Services Limited
Children's home,East Midlands,Nottinghamshire,Private,2,Homes 2 Inspire Limited
Children's home,West Midlands,Staffordshire,Private,3,First Blue Healthcare Limited
Residential Holiday Scheme for Disabled Children,South East,Surrey,Private,,The Saint John's School Foundation
Children's home,South East,Buckinghamshire,Private,4,Keys Care Ltd
Children's home,"North East, Yorkshire and the Humber",Sunderland,Private,3,Alexanders House Ltd
Children's home,South West,Devon,Private,2,Blue Elephant Childcare Ltd
Children's home,North West,Rochdale,Private,4,Octagon Care Ltd
Independent Fostering Agency,West Midlands,Worcestershire,Private,,Worcestershire Children First
Children's home,"North East, Yorkshire and the Humber",Durham,Voluntary,8,North East Autism Society
Independent Fostering Agency,London,Redbridge,Private,,Select FosterCare Services Ltd
Children's home,South East,Kent,Private,2,Moonreach Limited
Children's home,North West,St Helens,Private,1,Crossway Services Limited
Children's home,East of England,Essex,Private,4,Care Focus Limited
Adoption Support Agency,South West,Cornwall,Private,,Psychology Associates Limited
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,3,G B A Care Ltd
Children's home,North West,Lancashire,Private,4,Bay View Child Care
Residential Family Centre,London,Harrow,Private,3,Granary Care Limited
Children's home,South West,Cornwall,Private,2,Phoenix Childcare Ltd
Independent Fostering Agency,"North East, Yorkshire and the Humber",Durham,Private,,BETA North Limited T/A BETA Care Services
Independent Fostering Agency,"North East, Yorkshire and the Humber",Leeds,Voluntary,,The Adolescent And Children's Trust
Children's home,South West,Plymouth,Local Authority,6,The Governing Body of Woodlands School
Children's home,South East,Kent,Private,2,Moonreach Limited
Children's home,South East,West Sussex,Private,4,The Amicus Community Arundel Limited
Children's home,East of England,Norfolk,Local Authority,6,Norfolk County Council Children's Services
Independent Fostering Agency,South West,Devon,Private,,Capstone Foster Care (South West) Limited
Children's home,West Midlands,Staffordshire,Private,1,Searchlight Care Services Ltd
Independent Fostering Agency,West Midlands,Sandwell,Voluntary,,St Christopher's Fellowship
Children's home,East of England,Luton,Private,7,Children and Family Services Limited
Independent Fostering Agency,South West,Bristol,Voluntary,,Action For Children
Children's home,London,Southwark,Local Authority,5,London Borough of Southwark
Independent Fostering Agency,London,Harrow,Private,,Rainbow Fostering Services Ltd
Children's home,South East,Windsor and Maidenhead,Private,2,Keys Care Ltd
Children's home,North West,Trafford,Private,2,Aspireone Care Ltd
Children's home,East of England,Cambridgeshire,Voluntary,4,Break
Children's home,South West,Devon,Local Authority,4,Devon County Council
Children's home,South West,Devon,Local Authority,5,Devon County Council
Children's home,East of England,Suffolk,Private,4,Able Health Care Ltd
Children's home,West Midlands,Shropshire,Private,4,Unique Care Group Limited
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,2,Sandcastle Care Ltd
Children's home,South West,Devon,Private,2,Willows(Devon)Ltd
Children's home,East Midlands,Leicestershire,Private,2,G&S Caring for Children and Young People Ltd
Children's home,West Midlands,Stoke-on-Trent,Private,4,Cambian Childcare Ltd
Children's home,East Midlands,Northamptonshire,Private,3,T. How Homely Limited
Children's home,East Midlands,Leicestershire,Private,4,Hexagon Care Services Limited
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,3,Hexagon Care Services Limited
Children's home,London,Sutton,Local Authority,1,London Borough of Sutton
Voluntary Adoption Agency,East Midlands,Northamptonshire,Local Authority,,Northamptonshire Childrens Trust Limited
Children's home,West Midlands,Staffordshire,Private,2,Chillington Close
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,North West,Liverpool,Private,4,Supporting Futures Limited
Children's home,South East,Kent,Local Authority,6,Kent County Council
Children's home,West Midlands,Staffordshire,Private,3,Horizon Care and Education Group Limited
Children's home,West Midlands,Birmingham,Private,3,Beacon Childcare Limited
Children's home,North West,Blackpool,Private,4,Sandcastle Care Ltd
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Private,4,Rite Directions Ltd
Children's home,South West,Devon,Private,4,Phoenix Learning & Care Holdings Limited
Children's home,East Midlands,Derby,Private,5,Homes 2 Inspire Limited
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Private,6,Cambian Childcare Ltd
Children's home,South West,Wiltshire,Private,1,Five Rivers Child Care Limited
Children's home,North West,Lancashire,Private,3,Lifetime Opportunities Ltd
Children's home,London,Waltham Forest,Private,4,
Children's home,West Midlands,Stoke-on-Trent,Private,2,The Partnership Of Care Today
Boarding School,North West,Bury,Voluntary,200,
Children's home,North West,Stockport,Private,6,The Partnership Of Care Today
Children's home,North West,Stockport,Private,2,The Partnership Of Care Today
Residential Special School,London,Wandsworth,Local Authority,29,Wandsworth Borough Council
Children's home,"North East, Yorkshire and the Humber",Darlington,Voluntary,6,St Cuthbert's Care
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,Duty of Care Limited
Children's home,East Midlands,Derby,Local Authority,5,Derby City Council
Children's home,West Midlands,Staffordshire,Private,3,Hillcrest Children's Services (2) Limited
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,4,Stockton On Tees Borough Council
Children's home,West Midlands,Herefordshire,Private,3,Cambian Childcare Ltd
Children's home,South East,Kent,Private,2,Moonreach Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,2,Cambian Childcare Ltd
Children's home,North West,Lancashire,Private,3,Exceptional Care Ltd
Children's home,North West,Cheshire West and Chester,Private,3,Phoenix Care And Education Ltd
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Private,1,Cambian Childcare Ltd
Children's home,South West,Devon,Private,1,One To One Crisis Intervention Ltd
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Children's home,East Midlands,Derbyshire,Local Authority,6,Derbyshire County Council
Children's home,West Midlands,Shropshire,Private,3,Keys Education Ltd
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,5,Approach-Development (NE) Ltd
Independent Fostering Agency,North West,Cumbria,Private,,Tutis Foster Care Ltd
Children's home,North West,Knowsley,Private,1,Lytham Care Ltd
Children's home,South East,Oxfordshire,Private,8,Hillcrest Children's Services Ltd
Children's home,West Midlands,Coventry,Private,4,Hexagon Care Services Limited
Children's home,South West,Wiltshire,Private,5,Park Blue Homes Limited
Children's home,London,Lewisham,Private,4,Ownlife Limited
Children's home,East of England,Bedford,Private,3,Oracle Care Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Doncaster,Private,,Orange Grove Fostercare Ltd
Children's home,East Midlands,Northamptonshire,Private,4,Keys Direct Care Limited
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Local Authority,9,Middlesbrough Borough Council
Children's home,London,Brent,Private,4,Amelia's House Limited
Independent Fostering Agency,West Midlands,Worcestershire,Voluntary,,Pyramid Care Community Interest Company
Children's home,North West,Knowsley,Private,5,Lytham Care Ltd
Children's home,North West,St Helens,Private,1,2nd Nurture Ltd
Children's home,South West,South Gloucestershire,Voluntary,7,Kids
Children's home,North West,Bolton,Private,1,Cambian Childcare Ltd
Residential Special School,South East,Hampshire,Private,51,Cambian Asperger Syndrome Services Limited
Independent Fostering Agency,South West,Plymouth,Private,,Regional Foster Families Ltd
Children's home,North West,St Helens,Local Authority,4,St Helens Metropolitan Borough Council
Independent Fostering Agency,London,Lewisham,Voluntary,,The Adolescent And Children's Trust
Children's home,South East,Kent,Private,6,The Drive Care Homes Ltd
Children's home,North West,Stockport,Private,6,New Horizons-(stockport) Ltd
Residential Special School,South East,Wokingham,Voluntary,20,Barnardo's
Children's home,South East,Hampshire,Private,6,Hillcrest Children's Services Ltd
Residential Special School,South East,Oxfordshire,Local Authority,12,Oxfordshire County Council
Children's home,North West,Blackpool,Private,2,Oaktree Childcare Ltd
Children's home,South East,Buckinghamshire,Local Authority,5,Buckinghamshire County Council
Children's home,West Midlands,Wolverhampton,Private,6,Progress Children's Services Limited
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,1,Positive Individual Proactive Support Limited
Children's home,West Midlands,Wolverhampton,Private,3,Horizon Transitional Care Limited
Children's home,North West,Liverpool,Private,3,Tab Care and Support Ltd
Children's home,East of England,Norfolk,Private,3,4d Care Ltd
Children's home,London,Croydon,Private,3,Evoke Care Ltd
Children's home,East of England,Cambridgeshire,Local Authority,8,Cambridgeshire County Council
Children's home,North West,Lancashire,Private,2,Hexagon Care Services Limited
Children's home,West Midlands,Sandwell,Private,2,Child First Residential LTD
Children's home,"North East, Yorkshire and the Humber",Hartlepool,Private,5,Hennessy Living Group Limited
Children's home,East Midlands,Leicestershire,Private,6,Compass Children's Homes Ltd
Children's home,North West,Lancashire,Private,1,Hexagon Care Services Limited
Residential Special School,"North East, Yorkshire and the Humber",Northumberland,Local Authority,15,Northumberland County Council
Boarding School,East of England,Norfolk,Academy,667,Sapientia Education Trust
Independent Fostering Agency,West Midlands,Staffordshire,Private,,Park Foster Care Ltd
Residential Special School,East Midlands,Derbyshire,Local Authority,8,Derbyshire County Council
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,2,Dove Adolescent Services Limited
Children's home,West Midlands,Shropshire,Private,4,Cambian Childcare Ltd
Residential Special School,South East,Kent,Academy,17,Parkwood Hall Co-Operative Academy Trust 09494940
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,4,Cambian Childcare Ltd
Children's home,London,Ealing,Voluntary,4,St Christopher's Fellowship
Children's home,"North East, Yorkshire and the Humber",Darlington,Private,7,Witherslack Group Ltd
Independent Fostering Agency,West Midlands,Solihull,Private,,Voice Fostering Limited
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Private,4,Cambian Childcare Ltd
Children's home,North West,Lancashire,Private,4,Nurture Childcare Services Ltd
Children's home,East Midlands,Derbyshire,Private,4,Blue Mountain Homes Ltd
Independent Fostering Agency,South East,Surrey,Private,,Parent And Child Fostering Assessments Ltd
Boarding School,London,Bromley,Private,352,United Language Schools Ltd
Boarding School,South East,East Sussex,Private,108,Claremont School (St Leonards) Limited 02827000
Children's home,"North East, Yorkshire and the Humber",Sunderland,Private,8,Sunderland Care And Support Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,4,Hexagon Care Services Limited
Children's home,East Midlands,Nottingham,Private,3,Pathway Care Solutions Ltd 04004053
Children's home,London,Waltham Forest,Private,3,Raise House Limited
Children's home,East Midlands,Leicester,Private,3,Changing Lives Care Group Ltd
Residential Family Centre,North West,Lancashire,Private,5,Life Change Care Limited
Children's home,"North East, Yorkshire and the Humber",Sunderland,Private,2,Hmo Ne Ltd
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,East of England,Luton,Private,3,5ab Care Ltd
Children's home,North West,Cheshire West and Chester,Private,3,Omega Care Group Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Restorative social care services ltd
Independent Fostering Agency,South East,Kent,Private,,Compass Fostering South Ltd
Children's home,North West,Blackpool,Private,2,Sandcastle Care Ltd
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Private,3,The Open Care Group Limited
Independent Fostering Agency,East of England,Luton,Private,,Vineyard Fostering
Residential special school (registered as a children's home),East Midlands,Northamptonshire,Private,20,Cambian Autism Services Limited
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",North Yorkshire,Private,23,Cambian Autism Services Limited
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,1,Dove Adolescent Services Limited
Children's home,East Midlands,Derbyshire,Private,8,Country Care Childrens Homes Ltd
Residential special school (registered as a children's home),West Midlands,Telford and Wrekin,Private,22,Overley Hall Limited
Children's home,North West,Manchester,Private,4,The Partnership Of Care Today
Children's home,North West,St Helens,Private,1,PIC Children's Services Limited
Children's home,North West,St Helens,Private,1,PIC Children's Services Limited
Children's home,South East,Kent,Voluntary,10,Institute of Integrated Systemic Therapy
Children's home,South East,Kent,Private,7,Acorn Homes (uk) Limited
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Voluntary Adoption Agency,West Midlands,Dudley,Voluntary,,Barnardo's
Boarding School,"North East, Yorkshire and the Humber",Bradford,Private,170,Darul Uloom Dawatul Imaan
Children's home,"North East, Yorkshire and the Humber",Northumberland,Private,3,A Wilderness Way Ltd
Children's home,North West,Lancashire,Private,7,Witherslack Group Ltd
Voluntary Adoption Agency,West Midlands,Worcestershire,Voluntary,,Adopters for Adoption Limited
Children's home,"North East, Yorkshire and the Humber",North East Lincolnshire,Private,7,Tree House Care Fostering Solutions Ltd
Children's home,North West,Cumbria,Private,5,Hopscotch Care Ltd
Children's home,North West,Tameside,Private,6,Hexagon Care Services Limited
Children's Home,North West,Cheshire West and Chester,Private,5,iMapcentre Ltd
Children's home,London,Merton,Private,5,Reamcare Limited
Independent Fostering Agency,West Midlands,Herefordshire,Private,,Phoenix Fostering
Children's home,East Midlands,Nottinghamshire,Private,3,Pathway Care Solutions Ltd
Children's home,East of England,Cambridgeshire,Private,4,Keys Child Care Ltd
Children's home,South West,Devon,Private,3,Willows21 Limited
Children's home,East Midlands,Derby,Private,4,Haven Care Group Ltd
Children's home,North West,Bury,Private,2,Castle Care Homes Ltd
Children's home,North West,Wigan,Private,3,Next Stage 4Life LTD
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,3,Madiba Limited
Children's home,"North East, Yorkshire and the Humber",Leeds,Local Authority,4,Leeds City Council
Children's home,East of England,Luton,Private,3,247Bluebell Care LTD
Children's home,North West,Cheshire West and Chester,Private,9,iMapcentre Ltd
Children's home,"North East, Yorkshire and the Humber",Northumberland,Private,2,Young Foundations Ltd
Children's home,South East,West Sussex,Private,4,Compass Children's Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,VITA NOVA NE LTD
Independent Fostering Agency,South West,Somerset,Private,,Empower Fostering Limited
Children's home,East Midlands,Derbyshire,Private,3,Rite Directions Ltd
Children's home,West Midlands,Shropshire,Private,3,Bryn Melyn Care Limited
Children's home,West Midlands,Shropshire,Private,1,Bryn Melyn Care Limited
Children's home,West Midlands,Telford and Wrekin,Private,4,Bryn Melyn Care Limited
Children's home,South East,East Sussex,Local Authority,4,East Sussex County Council
Children's home,West Midlands,Sandwell,Private,3,Keys Care Ltd
Children's home,East Midlands,Nottingham,Private,4,Pathway Care Solutions Ltd
Children's home,East of England,Central Bedfordshire,Private,3,Oracle Care Limited
Children's home,West Midlands,Telford and Wrekin,Private,6,CareTech Community Services Limited
Children's home,North West,Salford,Private,5,Courtyard Care Limited
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,5,Joshs Place Limited
Children's home,North West,Bury,Private,2,Sandcastle Care Ltd
Children's home,East Midlands,Lincolnshire,Local Authority,7,Lincolnshire County Council
Children's home,North West,Bolton,Voluntary,4,Birtenshaw
Independent Fostering Agency,South East,Kent,Private,,Pilgrims Corner Fostering Limited
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Voluntary Adoption Agency,South East,Milton Keynes,Voluntary,,Adoptionplus Limited
Independent Fostering Agency,East Midlands,Derbyshire,Private,,Fosterplus Limited
Children's home,East of England,Suffolk,Private,6,Consensus Support Services Ltd
Children's home,North West,Stockport,Private,2,New Horizons-(stockport) Ltd
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,South East,Southampton,Private,6,Keys Group Progressive Care & Education Limited
Children's home,"North East, Yorkshire and the Humber",Sheffield,Local Authority,4,Sheffield City Council
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,3,Stockton On Tees Borough Council
Children's home,South East,Surrey,Local Authority,5,Surrey County Council
Residential Special School,South East,Kent,Local Authority,46,Kent County Council
Adoption Support Agency,South East,Buckinghamshire,Private,,
Children's home,East Midlands,Nottinghamshire,Voluntary,7,The Caldecott Foundation Limited
Children's home,South East,Hampshire,Private,4,Priory Education Services Limited
Children's home,North West,Bolton,Voluntary,3,Birtenshaw
Children's home,West Midlands,Staffordshire,Private,2,Unity Residential Care Services Limited
Children's home,South East,Oxfordshire,Local Authority,6,Oxfordshire County Council
Children's home,London,Harrow,Local Authority,5,London Borough of Harrow
Children's home,West Midlands,Stoke-on-Trent,Private,8,Halliwell Homes
Children's home,East Midlands,Nottinghamshire,Private,5,K&g Care Ltd
Children's home,North West,Lancashire,Private,2,GS Social Care Solutions Ltd
Children's home,South East,Buckinghamshire,Voluntary,6,Action For Children
Children's home,East Midlands,Nottinghamshire,Private,5,Homes 2 Inspire Limited
Children's home,West Midlands,Walsall,Private,4,Horizon Care and Education Group Limited
Independent Fostering Agency,West Midlands,Solihull,Private,,Triangle Project
Children's home,West Midlands,Worcestershire,Private,2, swan Cottage Limited
Children's home,South East,Oxfordshire,Private,8,Hillcrest Children's Services Ltd
Independent Fostering Agency,South East,Medway,Private,,People Who Foster
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,3,Restorative social care services ltd
Residential special school (registered as a children's home),West Midlands,Staffordshire,Private,14,Priory Education Services Limited
Children's home,West Midlands,Staffordshire,Private,2,Future In Mind
Children's home,South East,Isle of Wight,Local Authority,10,Isle of Wight Council
Children's home,South East,West Sussex,Local Authority,3,West Sussex County Council
Independent Fostering Agency,London,Enfield,Private,,Integrated Fostering Services Ltd
Children's home,South East,Hampshire,Private,4,New Forest Care
Independent Fostering Agency,"North East, Yorkshire and the Humber",Durham,Voluntary,,The Children's Family Trust
Children's home,North West,Rochdale,Private,1,Cambian Childcare Ltd
Children's home,East of England,Cambridgeshire,Private,6,Cambian Childcare Ltd
Further Education College with Residential Accommodation,North West,Cheshire East,Voluntary,522,Reaseheath FE college
Residential Special School,London,Wandsworth,Local Authority,17,Wandsworth Borough Council
Independent Fostering Agency,West Midlands,Dudley,Voluntary,,Barnardo's
Children's home,North West,Sefton,Private,3,After Care Nw Limited
Boarding School,North West,Lancashire,Academy,160,Lancaster Royal Grammar School
Children's home,East Midlands,Lincolnshire,Local Authority,5,Lincolnshire County Council
Residential Special School,West Midlands,Worcestershire,Academy,15,Advance Trust
Children's home,South East,Hampshire,Private,4,New Forest Care
Children's home,East Midlands,Leicestershire,Private,4,The Place Young People's Company Limited
Children's home,East of England,Cambridgeshire,Private,6,Unique Care Homes Support Limited
Children's home,South West,Cornwall,Health Authority,2,Cornwall Partnership NHS Foundation Trust
Children's home,West Midlands,Worcestershire,Private,2,Keys Specialist Residential Children's Services Ltd
Children's home,East Midlands,Leicestershire,Private,3,Cambian Childcare Ltd
Children's home,North West,Lancashire,Private,5,ROC Northwest
Independent Fostering Agency,East of England,Norfolk,Private,,Regional Foster Families Ltd
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,4,Stockton On Tees Borough Council
Children's home,East of England,Suffolk,Private,6,Barnardiston Hall Preparatory School Limited
Children's home,North West,Lancashire,Private,3,Care Afloat Ltd
